"Comp","Area_Ha","Mean","Var","n","Wh","Wh_2xSh_2_nh","WhxYbarh"
1,2.33,216433.836583769,2912870027.73388,23,0.0801237964236589,813048.229633386,17341.5006616294
2,1.62,140474.42616436,1645562716.91098,16,0.0557083906464924,319180.007910307,7825.604208606
3,1.32,187231.865757649,3767379948.50976,13,0.0453920220082531,597111.076784976,8498.8329711175
4,2.13,170869.6594712,7603796305.1926,21,0.0732462173314993,1942591.93784318,12515.5562129868
5,1.01,224555.676504129,1476019821.11714,8,0.0347317744154058,222564.629188038,7799.21710004025
6,1.32,191035.236285378,1174883525.7881,13,0.0453920220082531,186213.224248265,8671.47564981772
7,3.34,192789.998209311,2631551732.93436,33,0.114855570839065,1051966.96411037,22143.0052963927
8,0.91,149709.143897024,2701461232.57668,9,0.031292984869326,293934.260978314,4684.84597476933
9,1.72,170240.030394807,3296931262.51503,17,0.0591471801925722,678467.518493369,10069.2177537506
10,2.13,208128.591755207,4417827486.67979,21,0.0732462173314993,1128651.49379995,15244.6320646008
11,1.52,222554.346810119,4044038158.94207,15,0.0522696011004127,736584.12960151,11632.8269309278
12,1.42,197761.998123413,1964741854.7174,14,0.0488308115543329,334630.363897805,9656.8788629727
13,2.03,185549.548049599,4877450477.59397,20,0.0698074277854195,1188409.58071346,12952.7366760896
14,1.32,190256.159161576,4008179472.6072,13,0.0453920220082531,635276.609619011,8636.11176386796
15,0.3,230790.283989727,4764346710.56513,3,0.0103163686382393,169019.109307335,2380.91764776197
16,0.51,151495.239604039,828054457.803106,5,0.0175378266850069,50937.8303921327,2656.89725577922
17,2.53,174123.364830609,3967515405.11251,25,0.0870013755158184,1201242.94771832,15148.9722497057
18,0.3,163554.27971975,1725681159.09425,3,0.0103163686382393,61219.9552588735,1687.28624195065
19,0.91,192628.211977929,9572104257.2727,8,0.031292984869326,1171686.46603467,6027.91172283064
20,0.41,193071.635721275,547987251.449911,4,0.0140990371389271,27232.6166612694,2722.12416250766
